#oc-R11D9D7SHXIJB9	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R11O5J5ZVQE25C	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R12MGTQS5KZZRV	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R14ZSRYW2YB41B	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R155JB2SA58E17	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R162D7S0A880MV	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R163CP16SRRI50	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R19EJ3VEA88T6O	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1CF9LIM90SAB6	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1GKUU1PTIDIZ7	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1GSBW9QIVY489	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1K4OCJ8HEIEDY	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1QHGBT11WAS7G	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1U8FAII0QYOT3	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1UO6NAAGVBW7Z	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1VRD09DW4H2HI	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R26DKYCO954ZWP	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R28I1AL1ZAZLXL	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2B86BJE5FNKXX	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2HWL8UHAIMFRS	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2K9AJ2LWO7ZUJ	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2M17G7NB9RAIV	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2MG5C3DMRU8Q0	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2R45EEG606NCJ	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2W0C6DARSLJ0S	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2W66Y63G88976	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2XZVYL146WRFL	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2YPVWM76O2TFX	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R31AI08Q9HLVF1	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R34PQ2ORKQ6WCD	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3DERHJ8UWPZZ	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3EDGA2893DM4Y	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3F0UDHOQC1RNU	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3OS88C8I7GSS5	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3RMG4F3JAN4CE	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3RQNMHS7481DE	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3SRKE3YQ2BNES	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3TXZAQ0JD85LR	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3TZTZQ7UHNM8Y	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RKU1BA6XFA3Q4	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RMBODWNVK1H1D	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RODMQLZAXFCUG	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RS2VFRNYYRVUG	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RSZMLJGJRON5W	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RUCLMJ3IUSWPC	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RXCJ97CMQTXVA	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RXFX0AFFBDSJN	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
A2I1EMBCRV1E1K	  {'B0040Q0PAU', 'B001ELJJVU', 'B002RYY2YW', 'B001ELJK3M'}
A2I1FCE78576GM	  {'B001E5E3AI', 'B000HTFEVE', 'B0018KNGDY', 'B000K8Z2AA', 'B001LFEUCM', 'B000JZYM8C', 'B000JZYM8W', 'B000FK7PQW'}
A2I1FYC058CCN0	  {'B002VLZ8D0', 'B001VNGNEM', 'B0009F3QKW', 'B0009F3SA0'}
A2I202M59PB6QX	  {'B001KQAR24', 'B005P0NLJ2', 'B0012C7VLG', 'B000GAT6MM'}
A2I22T5C1PH3UV	  {'B000GZYAN2', 'B001K36UR8', 'B0049YMC3Q', 'B000F0EX2Q'}
A2I24UZNBCF9NR	  {'B008FHUGNQ', 'B006N3HZ6K', 'B007TJGY46', 'B0029XLH4Y', 'B001D0IZBW'}
A2I251JTD07Q5Y	  {'B000CQG87Q', 'B000CQID2Y', 'B000CQC05K', 'B000CQC050', 'B000CQIDHO', 'B000CQBZOW', 'B004OQBC8K', 'B000CQC04Q', 'B0012BUR8Q', 'B003CK0XC0', 'B000CQG89Y', 'B000CQIDHE'}
A2I27S48Y59RH0	  {'B00430EJR8', 'B000FFS926', 'B005P0XTD0', 'B0005YMEFK'}
A2I2A7N3OCPNW4	  {'B005XB5K0G', 'B0047RQ9M0', 'B006N3I29E', 'B008QLRHDS', 'B0087GGLSE', 'B003JA5KKS', 'B001EYUE5M', 'B0061UQ8Y0', 'B0061UQ6ME', 'B007TJGZ54', 'B008QLRJH2', 'B005XB4UP2', 'B007PA30TG'}
A2I2AVNL6P9KWK	  {'B001LNTY70', 'B001EQ4QJK', 'B004HOLD4W', 'B004HOSGWE', 'B001KVPBS4', 'B004HOOZEW', 'B004HOQE64', 'B000ZSZ5S4', 'B004HOLD60', 'B004HOLD92', 'B001EQ4RBM', 'B001EQ4P2I'}
A2I2FVE4WTZG2X	  {'B001BM68QG', 'B001HTG5AW', 'B000CQ6KUG'}
A2I2R3U1GQQGE4	  {'B000FFIIZY', 'B000FFIIZO', 'B001EQ56DA'}
A2I2WFAB7UKF3F	  {'B008114GDW', 'B001TH4C2A', 'B004MC0CNW', 'B0051TPWUI', 'B0049Z9ANU', 'B000ZT15EQ', 'B000ZSX4GE', 'B0049ZCF9G', 'B0034KP00S', 'B0049Z5OSK', 'B0034KN29O'}
A2I2X57GERB4QA	  {'B0029JB0CW', 'B0029JIBAG', 'B001F0RJHG', 'B0029JLRK2', 'B001F0RJNA', 'B0029JLS7E', 'B0029K68ZK', 'B0029JI9OE', 'B0029JLU2C', 'B001F0RJHQ', 'B0029JLVPI', 'B0029JIG9C', 'B0029JIARK', 'B0029K0HBG'}
A2I2XDO626BXFN	  {'B000NMJWZO', 'B000ET4SM8', 'B000DZH19K'}
A2I2XNE3M9K0I3	  {'B000VS8O86', 'B0041L3MAE', 'B000DT7QDM', 'B001P2KCXC', 'B00171291Y', 'B000FPJ6QO', 'B000DT7QE6', 'B00448JJLA'}
A2I334K2Y6VN2E	  {'B00139TT72', 'B001EO77FC', 'B001EO77FW', 'B00139ZPKM', 'B000VK33C6'}
A2I34EB8OXVUXV	  {'B001E95KUQ', 'B000EIVM8C', 'B000KEPBBY', 'B000FL521G', 'B001ET5XXK'}
A2I3KPQFFD7GR8	  {'B003EML8PM', 'B003EM7J9Q', 'B007Y59HVM', 'B005ZBZLT4', 'B001ABOCBG'}
A2I3VSJOWGX3G	  {'B00451WLYI', 'B003Z6ZGZK', 'B00438XVGU', 'B003Z6W32E'}
A2I3XS9TO93Q0F	  {'B002TSA91Q', 'B001EQ55ZO', 'B002TSA91G', 'B005BPVA3A', 'B005NVU5BK', 'B0037QGKSK', 'B004E4CCSQ', 'B0014WYXTC', 'B004E4EBMG'}
A2I40XQP3B6N2N	  {'B0002YB40O', 'B001ATOM3G', 'B008BWJ6CW'}
A2I43BCIRV8QQM	  {'B002Y2QTWK', 'B002Y2QS0S', 'B004INEW3Q', 'B002Y2QSSK', 'B000HBIHK2', 'B001JJYZ2U'}
A2I4DN20KYIXH3	  {'B006ZZC0FW', 'B0085YB4DU', 'B000HZLPPM', 'B001D0KG3W', 'B000HZH8NA', 'B0085YB426'}
A2I4E46LQVBXVD	  {'B0017U08SQ', 'B000FNJO6S', 'B0017U7TFG'}
A2I4JZHIEETU5H	  {'B005HGAV8I', 'B001C1OKPW', 'B0010SAHTU'}
A2I4QJUZLXGM63	  {'B000FI2VHM', 'B000FI61OQ', 'B000BWE4TU'}
A2I4QY3PLHX9VB	  {'B003UOX5NC', 'B001O8MPCI', 'B00199780Q', 'B002U1VYXY', 'B001SAO8HC', 'B001KWF2O6', 'B003UORZFG', 'B00061F1K2'}
A2I4R9SWLWZQHQ	  {'B008FHUDW0', 'B005HUVI0Y', 'B004DN9LCS', 'B00474OR8G', 'B007PA33KM', 'B000TK6LBS'}
A2I50KC23L4ZX2	  {'B000CQG87Q', 'B000CQID2Y', 'B000CQC05K', 'B000CQC050', 'B000CQIDHO', 'B000CQBZOW', 'B004OQBC8K', 'B0012BUR8Q', 'B000CQC04Q', 'B003CK0XC0', 'B000LKX6RS', 'B000CQG89Y', 'B000CQIDHE'}
A2I54K5MOG298K	  {'B0013NUGDE', 'B001RVFEP2', 'B000VK8AVK', 'B007M83302', 'B001RVFERK', 'B006HYLW32', 'B007M832YY', 'B0026KNQSA', 'B0026KPDG8'}
A2I5EYG1YB1W58	  {'B001DIM8K8', 'B002LV6LKY', 'B001EQ4SHK', 'B001E52WNS'}
A2I5KDNOESGJ1H	  {'B004777F3M', 'B004EE2UR4', 'B004772OWE', 'B004EDZ87Y', 'B005HGAV8I', 'B0089SPENI', 'B004779XHI', 'B003LTPHV4'}
A2I5L8S5Q42V0A	  {'B002HFPW6I', 'B000CRHQN0', 'B002R89LHQ'}
A2I5LVVQ7WXEH6	  {'B002TK4X6Q', 'B001E5E20O', 'B001EO5RZY', 'B001B0Q3M2', 'B000LTM4J0', 'B0007IQQXA', 'B000CEO6WM', 'B001LG940E', 'B000E4ALF6', 'B000E4C2LW', 'B000EVOSE4', 'B001LGGH40', 'B000FFS93K', 'B000EGX2EG'}
A2I5M1X863QB8L	  {'B008FHUCNU', 'B006N3I84I', 'B0032BXUJM', 'B0045S3WR6', 'B001ELL512', 'B004M62D5S', 'B0045IO37Y', 'B006VRTQZG'}
A2I5OC3AQBTPC1	  {'B001L1KG3I', 'B001L1DYAA', 'B001L1MI70'}
A2I5QH4F5FDKK5	  {'B001BCXTGS', 'B001BCVY4W', 'B000V17MLS', 'B002M5GXC0', 'B0019F30J8', 'B0040Q0NAW', 'B001E5E0BA', 'B001BM62T4', 'B000V1AWBK', 'B001VJ0B0I', 'B001CAT1PW', 'B000F0FZBE', 'B0016PC4TS', 'B0012KK462', 'B002LANN56', 'B001BDDTB2', 'B001BDDT8K', 'B004T80BYE', 'B0012KIBCQ', 'B00286KM8E', 'B001BCVY9W', 'B000V1D19A', 'B002IEZJMA', 'B001RVFDOO'}
A2I606SLG4SWHF	  {'B001P3PR5O', 'B001P05K8Q', 'B000ES5GLG', 'B001P3NU30', 'B001BS4G6O', 'B000QSON4K', 'B003E728CE', 'B008GRONV6'}
A2I60HCAVEF3RC	  {'B001WRHQRA', 'B008FHUKE6', 'B004V3R2BW', 'B004V3IO0A', 'B004XE0MCK', 'B000TQEWM2', 'B007TJGZ4A', 'B001CHH3QY', 'B004XE0LWQ', 'B006N3I1HM', 'B007JFMH8M', 'B004T3QMD8', 'B0029XDZKI', 'B002PR7FN6', 'B004V3IO0U', 'B002ZX1U9A', 'B001EO6654'}
A2I6CI2HK055MC	  {'B000WVY4PE', 'B001E18K8S', 'B003SSWCJI', 'B000OQ2DJQ', 'B000OQ2DL4', 'B002LN1ME2', 'B0019QT66I', 'B00125ZCWI', 'B001E0TBA0', 'B000WVYB8Y', 'B000V9PGSG'}
A2I6DISKM0YKM8	  {'B001M23W3M', 'B004QLX0LA', 'B004FEJ968', 'B004433TIO', 'B004Z33GI6', 'B002Q7U94W', 'B0000D916F'}
A2I6FFCUE6KID9	  {'B001FCFYU8', 'B0029NII3C', 'B000CQC08C', 'B001J83OQE', 'B001HTKOWC', 'B0029NGY4M', 'B0029NIFXK', 'B000F4F95W', 'B000I1OLT2', 'B001EO5VMS', 'B0027Z8V4S', 'B001E5DZIO', 'B004EK1YHK', 'B000CQE3NM', 'B0029NIGMA', 'B000DZAXGS', 'B000CQG8AS', 'B0029NLV8G', 'B003QSMT2U', 'B000BGZNXW', 'B0029NGX34', 'B0029NIIKK', 'B003CK2BQG'}
A2I6JD87WM3GER	  {'B0017TX3VG', 'B00020XNV6', 'B0017TONOC', 'B00020XNUW'}
A2I6M9B170XY0W	  {'B001EO5YCA', 'B000Q5X8DK', 'B0015MY6PC', 'B000Q5X876', 'B000Q611U6'}
A2I6O3SYDQO39E	  {'B008IY5EGU', 'B003GBEHMW', 'B00317HLMO', 'B00295IGHS', 'B001EO5YR0', 'B004X8T8DK', 'B003ZS2G42', 'B004Q9QIPM', 'B001EQ55RW'}
A2I6XG42TX6I3O	  {'B001EO6ESS', 'B006N3I2SK', 'B008K9TJDM'}
A2I6XH7B2LMDHL	  {'B002LMZG7M', 'B001I631C4', 'B001I4G9XY', 'B001I7JDK2'}
A2I7AE5M9G84NF	  {'B000GZW5OS', 'B002AUBWF0', 'B001M1YYLW'}
A2I7KNBGTK6WV9	  {'B001D3PXZ0', 'B0013NUGDE', 'B001RVFEP2', 'B001FA1N00', 'B000VK8AVK', 'B007M83302', 'B001RVFERK', 'B006HYLW32', 'B007M832YY', 'B0026KNQSA', 'B0026KPDG8'}
A2I7LE3IZNHOEN	  {'B00283LQI2', 'B001FCFYU8', 'B000CQG8AS', 'B000I1OLT2', 'B001HTKOWC', 'B000CQC08C', 'B000F6SNQM', 'B002CJARMI', 'B001E5DRI2', 'B000CQE3NM', 'B003CK2BQG'}
A2I7XNDN667WYX	  {'B002ULSKXQ', 'B000FA15D6', 'B000FA396M', 'B000S83YCU', 'B000FA15DQ', 'B000F9Z20E', 'B002UQFH0A'}
A2I858I4L41TWM	  {'B000GZ1BNE', 'B000GZ3B1O', 'B00634YDEQ'}
A2I85CXWERIJVM	  {'B002YJ0118', 'B000PDY3HI', 'B000PDY3P0', 'B000PDWBKO'}
A2I86NXJPPH0PQ	  {'B002YJ0118', 'B000PDY3P0', 'B000PDWBKO', 'B000PDY3HI'}
A2I8890BQ6IVIU	  {'B005VUEQSG', 'B00438KUAK', 'B001VNEHXG'}
A2I8GWTACDA8LC	  {'B0018KLPFK', 'B004GW6O9E', 'B0018KR8V0', 'B000ENUC3S'}
A2I8NRWCZKS5PN	  {'B004CLCEDE', 'B004LL7AL6', 'B004LW8VA4', 'B004JRSAJS', 'B004JRXZKM'}
A2I8UYFVJ5TLHT	  {'B003D4F1QS', 'B003D4MYLS', 'B003D4IYSU', 'B003D4MW38'}
A2I92C88DFKJTQ	  {'B001EO5RSQ', 'B000AY9SR2', 'B004HELERI'}
A2I93YZN7KBTRC	  {'B000EVG8HY', 'B000EVIDWW', 'B001CWSKFC', 'B000NMJWZO', 'B001CWX7EG', 'B001CWV4RS', 'B000EVG8FQ'}
A2I941LO3FMUQT	  {'B007PA30XM', 'B006N3I5N2', 'B008YA1R8W', 'B007PA31TK', 'B001EYUE5C'}
A2I971PPYPP61F	  {'B007M832YY', 'B0013NUGDE', 'B001RVFEP2', 'B000VK8AVK', 'B007M83302', 'B001RVFERK', 'B006HYLW32', 'B0026KNQSA', 'B0026KPDG8'}
A2I98OOPNIJNYY	  {'B004JGQ15E', 'B005VOOKS8', 'B0040K41MY', 'B004ZIER34', 'B005A1LGIY', 'B0051COPH6', 'B001OCKIP0', 'B005A1LINC', 'B005VOONGM', 'B004FEN3GK', 'B005VOONKI', 'B0061IUIDY', 'B004R8J8E0', 'B005VOONLW', 'B007I7Z3Z0', 'B004YV80O4', 'B004U49QU2', 'B007I7YZJK', 'B005VOONM6', 'B005VOOLXM', 'B005VOOM5E', 'B003ZT61E2', 'B005VOOM4A', 'B0049YNXDY', 'B004BKLHOS', 'B005VOONI0', 'B005VOOM2W', 'B005VOOL00'}
A2I9IRYIQM8XJK	  {'B000E5DJYU', 'B002P6CL7C', 'B0013NUGDE', 'B001RVFEP2', 'B007M83302', 'B0026KPDG8', 'B003BQCIRS', 'B000HIFAB4', 'B003BV0OHE', 'B000VK8AVK', 'B006HYLW32', 'B002P6FSVS', 'B0009R0626', 'B001RVFERK', 'B007M832YY', 'B000VRLS5I', 'B003BV0VFO', 'B000FA8SH2', 'B0012XWYVC', 'B000JZDY0Y', 'B0026KNQSA', 'B000JSOC0C'}
A2I9KK1JG927IJ	  {'B000EEWZG4', 'B000LL0RFQ', 'B000FEFEWA'}
A2I9NEIVBSRHAD	  {'B001U8SS64', 'B004WTHCO2', 'B001LQCOIS'}
A2I9O3A3C0Y763	  {'B002DHTWNO', 'B002DLXXHG', 'B00315WGNK'}
A2I9PB98HCC8C9	  {'B002ZJSWO0', 'B002ZJMRTQ', 'B000F9Z1WI', 'B002ZJTX16', 'B002QGZ7AE', 'B000FA3912', 'B002QTXS5C', 'B002ZJSS8A'}
A2I9SDHDLH0DRD	  {'B000GAT6NG', 'B004EAGP74', 'B001E8DHPW', 'B003QDRJXY'}
A2I9SSM0NGM4Q5	  {'B001KS9F0W', 'B0050X8EK0', 'B001B2U5Q0'}
A2I9XBQQ5PQ91B	  {'B008FHUGNQ', 'B007TJGY46', 'B0029XLH4Y', 'B006N3HZ6K'}
A2I9ZPELRCAMHS	  {'B001V70MAO', 'B00451U9Q0', 'B00284TR82'}
A2IA4ZFUSOON4	  {'B0009VO58S', 'B00142BX68', 'B00073JVFU', 'B000FVDWU4', 'B0016B7Z32', 'B00014DXCC', 'B00188S3PM', 'B007RLRCLK', 'B00020HHRW', 'B000M0F58U', 'B00020HHK4', 'B000VJYTZM', 'B00020HHHC', 'B000FVBYCW', 'B0006I5M2M', 'B00020HHM2', 'B00020HHGS', 'B00073IVAQ', 'B00020HHE0', 'B0014ATRV8', 'B0014B0HWK', 'B00412W76S', 'B001GCTTRQ', 'B00020HHAO', 'B0014AUJII'}
A2IA51TBLBWFLE	  {'B00139TT72', 'B001EO77FC', 'B001EO77FW', 'B00139ZPKM', 'B000VK33C6'}
A2IA8P67SYFTJP	  {'B003CG170Q', 'B0096AUTLU', 'B004SKPQX4'}
A2IA9NTVUGP6EH	  {'B000GB7OZC', 'B000GB7QZK', 'B000GB7PL0', 'B001KUVTM2'}
A2IAHIO9LCK1VO	  {'B000VK2WZA', 'B001D6A5ZA', 'B000OH73FO', 'B0018CG5BC', 'B004VLVLR0', 'B0046GRD0O', 'B0018CEABE', 'B000EGZ2L2', 'B001QEAUZO', 'B000J2JKGO', 'B003SBZC1U', 'B000VK6NDC', 'B003PFUNU4', 'B0018CLZBW'}
A2IALSGRQU074V	  {'B003ZXHE5I', 'B000VA5LZI', 'B001EO5ZBK'}
A2IAP918Q0QN9A	  {'B0006GWXYE', 'B0001QNMZ8', 'B0009JRKDC'}
A2IAWWN1C9KOE	  {'B0030VJ97Q', 'B0030VJ9K8', 'B0030VBRIU', 'B0030VJ8YU'}
A2IAXPW8J345WB	  {'B002AU3K1E', 'B00213IAUQ', 'B002AU4V94', 'B002AUCELQ', 'B00213EU7I', 'B00213ERI0'}
A2IAYGGXNMS4J0	  {'B001D0DMME', 'B008JKSJJ2', 'B002AU3K1E', 'B008JKU2CO', 'B00213IAUQ', 'B003TNANSO', 'B002AU4V94', 'B002AUCELQ', 'B002YR7B90', 'B001D09KAM', 'B008JKTH2A', 'B001D0DMMY', 'B00213EU7I', 'B008JKTTUA', 'B00213ERI0', 'B001SB2SVY'}
A2IBCXXX4V3KU0	  {'B00005344V', 'B00415HNOG', 'B000GG5IZA'}
A2IBO65GJLGZ8E	  {'B002CZLMNU', 'B001SAUJC0', 'B0018CE91A', 'B003P5DIRY'}
A2IBUE2WR08IBH	  {'B000WFSKK0', 'B000WFRYWU', 'B000WFPH5G', 'B000WFNW4O', 'B001F2AV42', 'B000LBN8YS', 'B002AN8GXS', 'B000OH57ZW', 'B003VIWN1C', 'B000WFKGR0', 'B000WFM9QQ', 'B000WFGOX0', 'B003VIWN1W', 'B003VIWN1M'}
A2IC75KPQ60AKV	  {'B008O3G2GG', 'B005GBIXZM', 'B008O3G25W', 'B005GYULZY', 'B005CUU25G', 'B008O3G2K2', 'B005CUU23S'}
A2IC971NTAR38Z	  {'B002DHTWNO', 'B002DLXXHG', 'B00315WGNK'}
A2ICD64WO3GYMO	  {'B000EDDS6Q', 'B000EY5COG', 'B002TRR9AG', 'B000E63LDS', 'B000H7GS5W', 'B000DZH19U', 'B0014UH6WU', 'B000H7F78Q', 'B000E1DSG8', 'B0005ZWN0A', 'B001VNFHLC', 'B001EQ5EW8'}
A2ICE15NREVBJ0	  {'B002YFCYJ4', 'B002YF7IC2', 'B002YFCYE4'}
A2ICHRV0PDKF34	  {'B0029NLV8G', 'B0029NII3C', 'B0029NGX34', 'B0029NIIKK', 'B0029NIGMA', 'B0029NIFXK', 'B0029NGY4M'}
A2ICY2Y1JNCXAM	  {'B002C50X1M', 'B002C52WIO', 'B002TSHYSW', 'B002C50XEO'}
A2ICZYFD825S13	  {'B001D0DMME', 'B008JKSJJ2', 'B008JKU2CO', 'B003TNANSO', 'B001D09KAM', 'B008JKTH2A', 'B001D0DMMY', 'B000H7LVKY', 'B008JKTTUA'}
A2ID5QQ1ZF9R2W	  {'B001BETMEO', 'B001BDI0QQ', 'B000FPKX5C', 'B004BCT2JI', 'B001BDI0RK', 'B000FPM22Y', 'B001BEXBCS', 'B000FPGYTQ'}
A2ID7VOD453BK2	  {'B0013NUGDE', 'B001RVFEP2', 'B000VK8AVK', 'B007M83302', 'B001RVFERK', 'B006HYLW32', 'B007M832YY', 'B0026KNQSA', 'B0026KPDG8'}
A2IDGIAMYWRNM	  {'B000XSJLW2', 'B000P54HVS', 'B000E46GGO', 'B000XSGMHO', 'B000P52FLW', 'B000E4ALHY'}
A2IDRAYYZ5GKBZ	  {'B0030JFYYA', 'B004NVBE8Y', 'B005BRHVD6'}
A2IDZI39UDLBDY	  {'B0002AQKCU', 'B0006348IG', 'B0002AQKDY'}
A2IE54LP2K73TH	  {'B000ODH4BG', 'B000EOXQS0', 'B000RHVIPC'}
A2IEC5KK5RY4TU	  {'B00125ZCWI', 'B000WVY4PE', 'B001E18K8S', 'B003SSWCJI', 'B000OQ2DJQ', 'B000OQ2DL4', 'B0019QT66I', 'B002LN1ME2', 'B000WVYB8Y', 'B001E0TBA0'}
A2IEC71PK3NAGP	  {'B000LKX6GY', 'B000LKWXT0', 'B000GAO92E', 'B000LKWXZ4', 'B000LKWXRM'}
A2IED2NKLD292T	  {'B0013NUGDE', 'B001RVFEP2', 'B000VK8AVK', 'B007M83302', 'B001RVFERK', 'B006HYLW32', 'B007M832YY', 'B0026KNQSA', 'B0026KPDG8'}
A2IED2SE43U3ZO	  {'B005V9UG18', 'B003FDG4K4', 'B003FDC2I2'}
A2IEF9WFIPGUEL	  {'B001EO7LS0', 'B005TY2FQY', 'B00028QD92'}
A2IEHZ4L9Y6OTP	  {'B0018Q1G94', 'B00370CFR6', 'B007TGDXMU', 'B007OXJJQ2', 'B00149FT0M'}
A2IEJBPKILUULG	  {'B000VKADSS', 'B001GVIUX6', 'B001GVIUXQ'}
A2IEJQ8754BMSI	  {'B002T0NWKE', 'B002T0KDNI', 'B004619PQE', 'B00457LHCY', 'B002T0IHPO', 'B000O1FIH0', 'B004G8YJ5Y', 'B002AK88SY', 'B0013BTP9C', 'B003561V40', 'B002T0NXK8', 'B002T0IHJ0', 'B002T0GXNC', 'B0018MTXIE', 'B006ZGIF46', 'B004G9208G', 'B0010UOGWM', 'B003YV46WK'}
A2IETFK1E1CXLY	  {'B0029ZAOW8', 'B003QNLUTI', 'B001AS1A4Q', 'B003QNJYXM'}
A2IEUSZIW4T5Z3	  {'B0006U7SEA', 'B000JL8S4A', 'B001AT4A1K', 'B001D74BGS'}
A2IEUX8S2XA4HI	  {'B003YEX696', 'B001E5DWW8', 'B000KFZ3HK', 'B001P1YWWK'}
A2IF1960T1QMIO	  {'B005CV7VN6', 'B0040J7HIU', 'B005OCQHM4', 'B0029TISNG', 'B002U8BS9M'}
A2IF21TFNXSQ8L	  {'B00032B982', 'B001GM7ZXG', 'B00017XCYS', 'B001EO5U6U'}
A2IF5C0I5BH11F	  {'B0000SX9U0', 'B0002VS31U', 'B002UUJ590'}
A2IF5J75C7N3W1	  {'B000LKTB90', 'B000SMN0DO', 'B000EDG4TE', 'B000H7ELTW', 'B000E433FG', 'B000H7LVKY', 'B000E63LDS'}
A2IF65N3D73R7N	  {'B0018CG5BC', 'B0018CEABE', 'B001QEAUZO', 'B000EGZ2L2', 'B000J2JKGO', 'B0018CLZBW'}
A2IFGGXG3YV3Y6	  {'B0045XE32E', 'B006MONQMC', 'B000FA38ZY', 'B001LG940E', 'B005SPQENY'}
A2IFKH3TJ10387	  {'B004E4HUMY', 'B004OV6X6Q', 'B006MONQMC'}
A2IFKMKKXV8AVU	  {'B0042TVKZY', 'B007OT22LU', 'B008YJ2322', 'B000FKQDAQ', 'B000LO25RG'}
A2IFYWQ4RC21NE	  {'B000ILILM0', 'B000HG84EQ', 'B002N7OCGQ', 'B000ILILLQ', 'B002N7DSLG', 'B001PQNV6S', 'B001EO6A4G', 'B004VITJ2M', 'B000EVKHQM', 'B004SEU95U', 'B00250I61S', 'B001AIQP8M', 'B000EVG8J2', 'B000ETAJZI', 'B005IW4WFY', 'B000H7MHIO', 'B000EPMP40', 'B005NGEP98', 'B002N7DSNE', 'B000DZFMG4', 'B002N7DSP2', 'B000ETGBN2', 'B008RWUHA6', 'B008RWUKXK', 'B000ETAJZ8', 'B000H7GSDY'}
A2IG64JL8CBDDF	  {'B001CFFUDE', 'B0054TWQ2M', 'B000LUC48K', 'B002W8YK4K'}
A2IG937LQKWO7C	  {'B008RWUHA6', 'B008RWUKXK', 'B004TPKAN4', 'B005IW4WFY', 'B006BXV14E'}
A2IGXQRZK89B47	  {'B000G18NSE', 'B000G18NO8', 'B000E6727O', 'B001E5E3JY'}
A2IH03CZ2MT83U	  {'B002AY5BHG', 'B002AYIJDO', 'B002AYC7TG', 'B0047E2I5U', 'B002AYAMIE', 'B002AYA6M6'}
A2IH2H5NLHA6DD	  {'B001IZM7QQ', 'B002QWHJOU', 'B002QWP8H0', 'B002QWP89S', 'B0026RQTGE', 'B00271NNLI', 'B001IZM5TK', 'B001EPPB3G'}
A2IH8UUAUHMGLW	  {'B001EQ5EQE', 'B001E5E0CE', 'B003TIVBSU', 'B001VNP2HG'}
